session_id,evaluator_id,blind_label,checkpoint,seed,severity,scope,note
D01_DIAG_20260820_V1,evaluator_01,A,E200,3004,1.0,local,
D01_DIAG_20260820_V1,evaluator_01,B,E200,2004,1.0,most,worse than A
D01_DIAG_20260820_V1,evaluator_01,C,E200,4004,1.5,all,
D01_DIAG_20260820_V1,evaluator_01,D,E280,5004,1.25,all,tied with E
D01_DIAG_20260820_V1,evaluator_01,E,E200,1004,1.25,all,tied with D
D01_DIAG_20260820_V1,evaluator_01,F,E200,5004,2.0,all,
D01_DIAG_20260820_V1,evaluator_01,G,E280,2004,1.0,local,
D01_DIAG_20260820_V1,evaluator_01,H,E280,1004,2.0,local,
D01_DIAG_20260820_V1,evaluator_01,I,E280,4004,1.0,most,
D01_DIAG_20260820_V1,evaluator_01,J,E280,3004,1.0,all,
